tweet_id, tweet_time, tweet_author, tweet_author_id, tweet_language, tweet_geo, tweet_text
797249107127570432,Sat Nov 12 01:26:13 +0000 2016,SpotOnGail,705188826692657153,en,,#FoxNews2016 #chriswallace so why didn't you ask Hillary the same question about accepting the election as you asked #trump!
797249109140701184,Sat Nov 12 01:26:14 +0000 2016,wekup2me,2941163216,en,,"#Trump subsidiaries own Dakota Pipeline?
How can #StandingRock Stand against #PresidentElectTrump?"
797249108679467008,Sat Nov 12 01:26:14 +0000 2016,Rocko1326,34540588,und,,@bradfitz #Trump! 😂😂😂
797249117412085760,Sat Nov 12 01:26:16 +0000 2016,LockamyTravis,2279816725,en,,@itssamkollins sounds very entertaining after the #TrumpProtest
797249117462364160,Sat Nov 12 01:26:16 +0000 2016,PamNation,19078053,en,,@GatorsEite23 Did you read this: https://t.co/PWF2chsELx I thk we may need to support #trump before we get rid of him. #Pence Is Worse
797249117324013572,Sat Nov 12 01:26:16 +0000 2016,MrGrantColeman,2357446610,tl,,HAHAHAHA!! #TrumpPresident #TrumpProtest #VeteransDay https://t.co/829oXCE5Cg
797249119945420800,Sat Nov 12 01:26:17 +0000 2016,doctoreama,22291665,en,,"#Trump announces new cabinet positions: Secretaries of Bigotry, #TweetSanitation, #You'reThePuppetry, Spray-tanning &amp; #TicTac Dispensing."
797249126077526016,Sat Nov 12 01:26:18 +0000 2016,maria_locar,759443829514641409,en,,Probably won't be a shooting at this parade because all of the sickos who would be capable of doing it are particip… https://t.co/cFv43CidlP
797249128128462849,Sat Nov 12 01:26:18 +0000 2016,EyeNewsEnt,2985247957,en,,WikiLeaks  Only 1% of Podesta emails published so far   Fox News Video  #PodestaEmails36 #TrumpProtest https://t.co/IYaMYVoNqA
797249129818812416,Sat Nov 12 01:26:19 +0000 2016,dylsineja,417156608,ru,,Человечество наносит Трампу ответный удар @realDonaldTrump Присоединяйтесь к открытому письму! #Trump https://t.co/zt8IBYqU2X
797249130124939264,Sat Nov 12 01:26:19 +0000 2016,TFLOTUSMELANIA,2578927729,und,,https://t.co/qUg3rd4uEX
797249135984472064,Sat Nov 12 01:26:20 +0000 2016,NeoProgWanker,748669405702262784,en,,University of Michigan law school students does not deserve to be hired to prestigious firms if you break down over fact #trump is president
797249136349151232,Sat Nov 12 01:26:20 +0000 2016,lmcwords,1436873407,en,,“#Notmypresident” by Elaine Beale https://t.co/Y67ldxPwV8
797249137406263296,Sat Nov 12 01:26:21 +0000 2016,sharru4,2204149843,en,,"We need to find who this so called mother is, her name, address &amp; have cops investigate this terrific abuse of her… https://t.co/C7hy6khVA4"
797249139180470272,Sat Nov 12 01:26:21 +0000 2016,1234jamesdean,739981780908793856,en,,@1234jamesdean The elites are the rich.And#trump has the power. There is a threat to DEMOCRACY HERE. WAKE THE FUCK UP AMERICA.
797249138987503616,Sat Nov 12 01:26:21 +0000 2016,mohammadasfand,48365860,en,,#Trump's climate change denialism portends dark days - climate researchers https://t.co/qcHsCN4LYc https://t.co/YAedqyAEm9
797249140153401344,Sat Nov 12 01:26:21 +0000 2016,mediajim,32298202,en,,"The 3% ""Red Shift"" Favoring #Trump: Were Our #Votes Counted Fairly? #StealingAnElection https://t.co/BPr8vL0VIZ via @"
797249140338073600,Sat Nov 12 01:26:21 +0000 2016,Teressastone4,786902500406358016,en,,How we didnt sreal signs beat up old people pay for tramps to lie bring illegals to vote or bus them poll to poll S… https://t.co/RTDPLWBraG
797249141369929728,Sat Nov 12 01:26:22 +0000 2016,CaptialBusLoan,718474383644364800,en,,Oh the irony. #TrumpProtest @LeeAnnMcAdoo @allidoisowen arrest these domestic terrorists! https://t.co/zYhoWr1Xou
797249141604630529,Sat Nov 12 01:26:22 +0000 2016,RPOBB,2285892649,en,,#Denver #highschool #students march in protest against #Trump win https://t.co/S7V7GmoI1L
797249142556868608,Sat Nov 12 01:26:22 +0000 2016,JacleneRose,305702664,en,,What could possibly go wrong. #Trump https://t.co/yV2sPuqovX
797249149196468224,Sat Nov 12 01:26:23 +0000 2016,Lous666,596001734,en,,"@TheVengeant Just great. Our Potus has a hitlist. Can it get worse than that? 😑
#NotMyPresident"
797249150010163200,Sat Nov 12 01:26:24 +0000 2016,crtnkls,616456537,en,,Can u help? https://t.co/WuJk0hxiQY
797249151222300672,Sat Nov 12 01:26:24 +0000 2016,FalconCs,2187376209,en,,EVERYONE READ THIS AND PASS IT ALONG!!! https://t.co/TLCAye4ERF
797249153550127104,Sat Nov 12 01:26:25 +0000 2016,katherinejoyce4,66869696,en,,"My city , Miami,  is against Donald Trump's  election , and they are protesting in Downtown #notmypresident"
797249153046810624,Sat Nov 12 01:26:24 +0000 2016,RodneyJPlunkett,291122859,en,,What is going to happen when DJT gets mad because he doesn't get his way. #RecallTrump #NotMyPresident
797249159510261760,Sat Nov 12 01:26:26 +0000 2016,katherinejoyce4,66869696,en,,"My city , Miami,  is against Donald Trump's  election , and they are protesting in Downtown #notmypresident https://t.co/xkDLZRSqfP"
